"vertex_id";"station_name";"x";"y"
258;"马陆";121.277;31.3197
259;"友谊西路";121.428;31.3813
260;"北新泾";121.374;31.2167
261;"延吉中路";121.535;31.2885
262;"江湾镇";121.485;31.3055
263;"新场";121.649;31.0456
264;"新闸路";121.468;31.2384
265;"金运路";121.319;31.241
266;"外环路";121.393;31.1209
267;"剑川路";121.417;31.0265
268;"外高桥保税区北";121.587;31.3478
269;"黄兴路";121.528;31.2788
270;"九亭";121.319;31.1373
271;"共康路";121.447;31.3189
272;"行知路";121.421;31.2849
273;"南京东路";121.484;31.2371
274;"丰庄";121.355;31.2426
275;"白银路";121.245;31.3454
276;"金平路";121.41;31.0113
277;"漕宝路";121.435;31.1682
278;"水城路";121.392;31.1995
279;"三林东";121.523;31.1465
280;"嘉善路";121.461;31.202
281;"龙溪路";121.38;31.1944
282;"宝安公路";121.431;31.3696
283;"隆德路";121.424;31.2305
284;"东靖路";121.589;31.2907
285;"蓝村路";121.528;31.2117
286;"虹漕路";121.411;31.164
287;"后滩";121.474;31.1719
288;"陆家嘴";121.502;31.2382
